WAVE,Nylon_raw,PET_raw,Styro_raw
294,0.31439024800802784,1.6072127692327367,0.5105288028288717
295,0.38346814006229996,1.6821299661572355,0.6386032127476543
296,0.4435311473893418,1.7496141479261063,0.7813618615251751
297,0.4826653180564456,1.817882755292112,0.9268464017461394
298,0.49305902918558797,1.890151206503694,1.0672713100893039
299,0.47310988146340344,1.9618651650303713,1.1925057823194825
300,0.4351653564183527,2.027878589673444,1.2947709234624802
301,0.3980522647162214,2.082780497198982,1.3613087237025914
302,0.3743261622799484,2.123595255477509,1.3833557049158227
303,0.3697278128869067,2.150990463674389,1.367483900721449
304,0.37819807277724166,2.164560082063287,1.330455161130831
305,0.38761980293522086,2.165751831729442,1.2929975324442684
306,0.3928603104461634,2.156755459368936,1.271595114569004
307,0.39539661329579256,2.13575240896558,1.2823757260672382
308,0.3955786581769773,2.1036847830219694,1.3265073180110496
309,0.39521938368633536,2.060426640105311,1.4082415096869365
310,0.39530954187226786,2.007007087870508,1.53623417026736
311,0.3894794601951948,1.954696625505814,1.6866351390210288
312,0.377659075783386,1.9070529365627014,1.8350096048061304
313,0.3623886178272726,1.8650465255237358,1.9502851743001384
314,0.3436895593715691,1.833430712489501,2.0051693263163837
315,0.3283123905462,1.8076877675086451,1.9964484523914818
316,0.31668657272412,1.7856305792063438,1.9327036042411536
317,0.302757825942095,1.7645175775246589,1.835215409205401
318,0.28409640271114067,1.740298098413952,1.7187117491926853
319,0.26157539470368446,1.7183319840151698,1.5897838795571542
320,0.2398795910952641,1.6999681929714376,1.4566177054926468
321,0.2315916169251044,1.6845557726847094,1.3260073425023207
322,0.2464616101451083,1.6736005910270133,1.2066379329124188
323,0.27908173399764036,1.6596773118411687,1.120520353149388
324,0.3207588857258973,1.6411906905132634,1.0694130355613984
325,0.3567231807732576,1.6212496693828595,1.0328003424867733
326,0.3757496864352243,1.5977687925165245,1.0061370026063459
327,0.37471152918217715,1.5786648749506453,0.9738203496899678
328,0.35371721134045864,1.5665054757858985,0.9320966048535023
329,0.31689202404282585,1.5588619151237357,0.8960706568726904
330,0.26521065179398734,1.5581879809097325,0.8700617219348501
331,0.20211359813041443,1.556404396243766,0.8505582884983351
332,0.1334117113625786,1.5503401992611978,0.8303373928704075
333,0.06713515143465065,1.544959335050991,0.7928923598075913
334,0.008878767838246848,1.541373153976998,0.7259562581215792
335,-0.029508698321479884,1.5389822006061011,0.6299004974156389
336,-0.043958699695714386,1.5341810669168652,0.5102604123115472
337,-0.03981902407204321,1.5157945650191254,0.3833142385804083
338,-0.013389910673762752,1.476225028384506,0.26063503866512344
339,0.021747079426228503,1.416049404830368,0.146992921587373
340,0.055745566652520805,1.3398300725296575,0.044298124863026006
341,0.082882577719677,1.260414306430817,-0.053513864840375826
342,0.09232220941879968,1.1863318825695637,-0.14851735280260836
343,0.08544337031801279,1.123573040390913,-0.23449373372048202
344,0.06424984307522173,1.0744405854862311,-0.3096344651885315
345,0.031110519117509845,1.034373084326454,-0.3785343734256538
346,-0.013605336518591492,1.004365673527506,-0.4413083947934728
347,-0.06469884215365625,0.9815312488716099,-0.5064615571837295
348,-0.11504238085991117,0.9619515589422838,-0.5775762487815775
349,-0.15017070952703493,0.9377769348027211,-0.6541165561153292
350,-0.1574416845549508,0.9015863679452266,-0.7447501735665094
351,-0.13623725153311025,0.8531352221049309,-0.8318336067682075
352,-0.09180812423368587,0.7948358015735726,-0.9029793386599173
353,-0.043110155846125243,0.7376335875922039,-0.9488028367879018
354,-0.0009941743624303314,0.6888519607562059,-0.9563300417147474
355,0.02602353767586527,0.6467114763059064,-0.9373799843576487
356,0.03381682469981895,0.608967230958995,-0.9006425317244737
357,0.02875650974276032,0.5691798885536434,-0.8510489558178259
358,0.01147707392532816,0.5225144660957091,-0.7983518101767321
359,-0.020349887560332,0.4735365077735682,-0.7409060091108528
